population_group_name,measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2015,103.5702658,118.0215981,90.73526969
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2015,90.30857395,103.1648571,77.28843417
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2015,6.411140107,7.845954638,5.326127918
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2015,4.925013636,6.110432646,4.078891012
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2016,26.6594242,32.32112783,22.4896455
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2016,19.85925746,24.21139177,17.07434507
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2016,1.264125437,1.752923601,0.913244397
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2016,1.025809302,1.47000945,0.730664737
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2016,103.8954008,118.7138928,90.90116744
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2016,90.31631966,103.4001111,77.64171053
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2016,6.501986458,7.863163813,5.426668369
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2016,5.010100853,6.133411076,4.142840972
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2015,9.978700483,12.21155873,6.788238654
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2015,7.394254162,8.96140247,5.839445378
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2015,0.310519002,0.4056162,0.233774263
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2015,0.269577728,0.358518325,0.189004573
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2015,48.32954028,61.68781991,32.81041101
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2015,46.15981305,53.89707703,36.08780848
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2015,3.069187256,3.668329774,2.305548402
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2015,2.023271094,2.550314375,1.641609208
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2016,10.4000145,12.72746065,6.98690022
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2016,7.479239736,9.06010421,5.998272835
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2016,0.293893145,0.387905207,0.218508346
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2016,0.261084626,0.349367778,0.190094443
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2016,49.80739905,61.68153945,34.46991435
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2016,47.3093188,54.75902947,37.82997241
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2016,3.140493596,3.807079264,2.347207559
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2016,2.031749085,2.618014038,1.680759669
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2017,10.53582254,12.87713836,7.182964455
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2017,7.401180354,9.26360515,5.865970722
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2017,0.271798349,0.363219281,0.1977877
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2017,0.246854958,0.341046714,0.181057299
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2017,49.42414999,59.82847359,34.86322666
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2017,46.72796061,53.9397463,37.61769733
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2017,3.108293384,3.73922217,2.371440722
